,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.0,4077.0,633.0,369.0,342.0,457.0,722.0,3567.0,1921.0,3387.0,1893.0,506.0,1142.0,984.0
1,4969.0,0.0,2093.0,418.0,272.0,409.0,653.0,2937.0,1172.0,2486.0,1269.0,553.0,953.0,1816.0
2,625.0,2086.0,0.0,7087.0,569.0,669.0,683.0,716.0,339.0,429.0,497.0,866.0,870.0,4564.0
3,507.0,752.0,5060.0,0.0,6361.0,1043.0,890.0,701.0,373.0,409.0,504.0,1418.0,870.0,1112.0
4,481.0,622.0,623.0,6094.0,0.0,5104.0,1213.0,659.0,372.0,391.0,545.0,1848.0,1110.0,938.0
5,490.0,718.0,769.0,1153.0,5870.0,0.0,1401.0,691.0,359.0,381.0,527.0,5217.0,1065.0,1359.0
6,452.0,684.0,573.0,690.0,1569.0,1809.0,0.0,894.0,390.0,431.0,639.0,4509.0,5494.0,1866.0
7,4111.0,2929.0,666.0,360.0,336.0,419.0,858.0,0.0,2047.0,1939.0,3166.0,499.0,1523.0,1147.0
8,1722.0,1146.0,629.0,391.0,441.0,480.0,768.0,1697.0,0.0,5350.0,4635.0,556.0,1253.0,932.0
9,2742.0,1961.0,628.0,362.0,380.0,494.0,735.0,1638.0,5588.0,0.0,2960.0,510.0,1111.0,891.0
10,1802.0,1156.0,614.0,352.0,388.0,424.0,740.0,2574.0,5635.0,3250.0,0.0,488.0,1671.0,906.0
11,459.0,728.0,829.0,1412.0,2123.0,6520.0,3117.0,654.0,400.0,341.0,544.0,0.0,1250.0,1623.0
12,870.0,996.0,487.0,324.0,693.0,894.0,6651.0,2003.0,1002.0,751.0,2255.0,1212.0,0.0,1862.0
13,770.0,2145.0,6396.0,988.0,656.0,1278.0,1569.0,1269.0,402.0,455.0,566.0,1818.0,1688.0,0.0
