,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,2.6561398887587544e-05,621.7931850259557,-115.04512979561342,-206.9900242787928,-229.86100230781756,-185.84207536893203,-158.91819255321516,412.4406879469106,21.734982827668773,154.65531339509934,50.19806608448776,-185.6169534498156,-105.21654787250365,-98.08919393892434
1,621.7931850259557,2.6561398887587544e-05,-109.687644197376,-190.03391290794858,-224.08684724439763,-202.27419545382642,-162.89643827692524,261.10828243808965,-89.96348416239225,268.0747669882159,-65.55824495284516,-170.78360005976924,-52.53125485066856,92.08250336839532
2,-115.04512979561342,-109.687644197376,2.6561398887587544e-05,1010.5457457400628,-209.13058628242885,-213.07789147948478,-156.11613999901266,-189.46046552564104,-237.59021042175561,-185.22387676509058,-204.34777387232418,-185.42473843142693,-151.8622986487786,921.6641253933781
3,-206.9900242787928,-190.03391290794858,1010.5457457400628,2.6561398887587544e-05,1002.2241559578936,-167.54963487061255,-165.63412391155376,-188.20588851037354,-258.4731469389828,-261.69014225948695,-228.7240415607499,-115.22111987539199,-162.84620730535323,-92.15854356420186
4,-229.86100230781756,-224.08684724439763,-209.13058628242885,1002.2241559578936,2.6561398887587544e-05,878.3649791058012,-55.891556369795076,-194.09052931015208,-253.71206745659015,-242.98342298278834,-213.76905551164694,-53.05180069637741,-84.39223324578043,-144.37691794141224
5,-185.84207536893203,-202.27419545382642,-213.07789147948478,-167.54963487061255,878.3649791058012,2.6561398887587544e-05,-80.83274241538096,-166.40534192741336,-236.12659929498435,-251.81707238690177,-216.88109810225717,1016.2636464524909,-115.8026205774186,-82.77623796657129
6,-158.91819255321516,-162.89643827692524,-156.11613999901266,-165.63412391155376,-55.891556369795076,-80.83274241538096,2.6561398887587544e-05,-111.92586823542229,-185.04593748228487,-154.0785949959967,-207.21402987694788,577.3976635449867,876.9430372192114,-40.54396093315451
7,412.4406879469106,261.10828243808965,-189.46046552564104,-188.20588851037354,-194.09052931015208,-166.40534192741336,-111.92586823542229,2.6561398887587544e-05,-54.225739551449244,-4.841626465044604,332.10537795511306,-162.44367686491074,135.87941415318804,-94.69151038838594
8,21.734982827668773,-89.96348416239225,-237.59021042175561,-258.4731469389828,-253.71206745659015,-236.12659929498435,-185.04593748228487,-54.225739551449244,2.6561398887587544e-05,906.2431252468764,828.141416283663,-192.77737806318532,-107.40950249870836,-165.55234277336862
9,154.65531339509934,268.0747669882159,-185.22387676509058,-261.69014225948695,-242.98342298278834,-251.81707238690177,-154.0785949959967,-4.841626465044604,906.2431252468764,2.6561398887587544e-05,227.5417669243727,-212.68827730576533,-121.62300852167802,-146.32583515730437
10,50.19806608448776,-65.55824495284516,-204.34777387232418,-228.7240415607499,-213.76905551164694,-216.88109810225717,-207.21402987694788,332.10537795511306,828.141416283663,227.5417669243727,2.6561398887587544e-05,-217.42658660834607,13.781117723786458,-122.6037987717988
11,-185.6169534498156,-170.78360005976924,-185.42473843142693,-115.22111987539199,-53.05180069637741,1016.2636464524909,577.3976635449867,-162.44367686491074,-192.77737806318532,-212.68827730576533,-217.42658660834607,2.6561398887587544e-05,-110.63783558831179,-12.346227339668326
12,-105.21654787250365,-52.53125485066856,-151.8622986487786,-162.84620730535323,-84.39223324578043,-115.8026205774186,876.9430372192114,135.87941415318804,-107.40950249870836,-121.62300852167802,13.781117723786458,-110.63783558831179,2.6561398887587544e-05,-39.038944272475376
13,-98.08919393892434,92.08250336839532,921.6641253933781,-92.15854356420186,-144.37691794141224,-82.77623796657129,-40.54396093315451,-94.69151038838594,-165.55234277336862,-146.32583515730437,-122.6037987717988,-12.346227339668326,-39.038944272475376,2.6561398887587544e-05
